train/mean_token_accuracy,train/entropy,train/num_tokens,_timestamp,train/loss,train/grad_norm,train/learning_rate,_step,_runtime,train/global_step,train/epoch
0.813579065601031,0.6818599457542102,6242088.0,1764931218.3907437,0.6596,0.17758852243423462,0.00011292307692307693,89,1156.381139308,900,0.108
0.7780262380838394,0.8014649907747905,6311529.0,1764931231.1724644,0.7956,0.24068254232406616,0.0001118974358974359,90,1169.162702646,910,0.1092
0.7938503543535869,0.7275036459167799,6380753.0,1764931244.063001,0.7321,0.24105358123779297,0.00011087179487179489,91,1182.053134215,920,0.1104
0.8058120091756185,0.6790745412309964,6449671.0,1764931256.6765032,0.668,0.23326513171195984,0.00010984615384615384,92,1194.666614816,930,0.1116
0.8114172498385112,0.6970812007784843,6521589.0,1764931269.6470726,0.6656,0.29616832733154297,0.00010882051282051283,93,1207.637284667,940,0.1128
0.7977330654859542,0.7401301771402359,6588704.0,1764931282.094555,0.6989,0.23854970932006836,0.0001077948717948718,94,1220.084705639,950,0.114
0.7932638545831044,0.7632767622669537,6657113.0,1764931294.8688917,0.7246,0.1819910854101181,0.00010676923076923077,95,1232.859009543,960,0.1152
0.7938986092805862,0.7292855471372605,6728433.0,1764931307.6853843,0.7292,0.21638479828834534,0.00010574358974358976,96,1245.675571098,970,0.1164
0.7898255596558253,0.7649926011761029,6802443.0,1764931320.3129263,0.7526,0.2508872449398041,0.00010471794871794873,97,1258.303098432,980,0.1176
0.7876409530639649,0.7679666385054589,6869592.0,1764931332.8646262,0.7591,0.19139736890792847,0.00010369230769230769,98,1270.854736131,990,0.1188
0.7891059805949528,0.753659245868524,6936489.0,1764931345.1445603,0.7495,0.2732541561126709,0.00010266666666666666,99,1283.134841897,1000,0.12
0.7911576688289642,0.7449096500873565,7013465.0,1764931359.779667,0.7283,0.19391654431819916,0.00010164102564102565,100,1297.769834803,1010,0.1212
0.8055821597576142,0.7304978107412656,7089067.0,1764931372.4632185,0.7037,0.2078731507062912,0.00010061538461538462,101,1310.453502665,1020,0.1224
0.8007185528675715,0.7168452727297941,7158295.0,1764931385.4025288,0.6905,0.17783185839653015,9.958974358974358e-05,102,1323.39276146,1030,0.1236
0.7878814697265625,0.7486201122403144,7223780.0,1764931397.8914397,0.744,0.24140247702598572,9.856410256410257e-05,103,1335.881621601,1040,0.1248
0.7792787591616313,0.8011372069517771,7286376.0,1764931410.4982605,0.8094,0.19755858182907104,9.753846153846154e-05,104,1348.488466708,1050,0.126
0.7842105944951375,0.7490012854337692,7357093.0,1764931423.6569037,0.7602,0.21838520467281342,9.651282051282052e-05,105,1361.649219183,1060,0.1272
0.7864438166220983,0.7483849793672561,7423691.0,1764931436.6977487,0.7349,0.24468423426151276,9.548717948717949e-05,106,1374.688159666,1070,0.1284
0.7969090988238653,0.7346481467286746,7493980.0,1764931450.0416834,0.7226,0.21957920491695404,9.446153846153846e-05,107,1388.031905167,1080,0.1296
0.7928769548734029,0.7447457035382589,7568338.0,1764931463.2913206,0.706,0.2223108410835266,9.343589743589744e-05,108,1401.281456725,1090,0.1308
0.777462453643481,0.8244103292624155,7636688.0,1764931476.3216248,0.8165,0.22573918104171753,9.241025641025641e-05,109,1414.311843463,1100,0.132
0.7901079972585042,0.7623257572452228,7703394.0,1764931488.7985892,0.7904,0.3191445767879486,9.13846153846154e-05,110,1426.788808945,1110,0.1332
0.7790752907594045,0.8256886045138041,7778156.0,1764931501.9981804,0.7657,0.20505881309509277,9.035897435897437e-05,111,1439.988366583,1120,0.1344
0.7976923763751984,0.7318097586433093,7847372.0,1764931514.2023258,0.693,0.19778668880462646,8.933333333333334e-05,112,1452.192596581,1130,0.1356
0.7745750973622004,0.8077579339345297,7917113.0,1764931526.7618425,0.806,0.294694721698761,8.830769230769231e-05,113,1464.752022217,1140,0.1368
0.7855321635802587,0.7551811347405116,7988568.0,1764931539.7125504,0.7567,0.20130936801433563,8.728205128205129e-05,114,1477.702707942,1150,0.138
0.7972304701805115,0.7277407785256703,8063995.0,1764931552.9188547,0.7187,0.20881390571594238,8.625641025641026e-05,115,1490.909037916,1160,0.1392
0.8048923462629318,0.7017524393896262,8137635.0,1764931566.2081914,0.668,0.16504018008708954,8.523076923076923e-05,116,1504.19831043,1170,0.1404
0.7863277584314347,0.7443148578206699,8202718.0,1764931578.5450263,0.7259,0.24750737845897675,8.420512820512822e-05,117,1516.535305883,1180,0.1416
0.7982219537099202,0.7424515234927337,8275424.0,1764931591.8450754,0.6813,0.27202266454696655,8.317948717948718e-05,118,1529.835341417,1190,0.1428
0.8010722498099009,0.7427475402752558,8349422.0,1764931604.6814263,0.7191,0.23519612848758698,8.215384615384615e-05,119,1542.671724893,1200,0.144
0.8037302802006404,0.71219432502985,8417692.0,1764931618.2989557,0.6865,0.2169090360403061,8.112820512820514e-05,120,1556.289153326,1210,0.1452
0.7906604329744975,0.7476858392357826,8483196.0,1764931630.4671228,0.7327,0.21245381236076355,8.01025641025641e-05,121,1568.457290351,1220,0.1464
0.7983990261952082,0.7578498313824336,8561767.0,1764931643.8824246,0.7247,0.22263653576374054,7.907692307692309e-05,122,1581.872589141,1230,0.1476
0.8017357299725215,0.7463070000211398,8630331.0,1764931656.146514,0.6843,0.23154477775096893,7.805128205128206e-05,123,1594.136729283,1240,0.1488
0.8029974848031998,0.6993520657221476,8704801.0,1764931669.456115,0.708,0.26978781819343567,7.702564102564103e-05,124,1607.446209536,1250,0.15
0.8039517819881439,0.7244218359390895,8777782.0,1764931682.270158,0.6927,0.21570652723312378,7.6e-05,125,1620.260484469,1260,0.1512
0.7770728041728338,0.8071340163548787,8850016.0,1764931695.1300893,0.7984,0.4594075679779053,7.497435897435898e-05,126,1633.120382923,1270,0.1524
0.7866839498281479,0.750106456130743,8919758.0,1764931708.2618544,0.7362,0.23671607673168182,7.394871794871795e-05,127,1646.252114688,1280,0.1536
0.7931023766597112,0.7609403510888417,8976710.0,1764931720.257852,0.7274,0.21891522407531738,7.292307692307692e-05,128,1658.248049465,1290,0.1548
0.7987929970026016,0.7379860113064448,9047466.0,1764931733.045563,0.7194,0.2548888921737671,7.189743589743591e-05,129,1671.035744077,1300,0.156
0.8013313392798106,0.7248201842109362,9105273.0,1764931745.099317,0.6866,0.295925110578537,7.087179487179487e-05,130,1683.089561333,1310,0.1572
0.7956874459981919,0.7109911243120829,9169451.0,1764931757.5216582,0.7178,0.2761577367782593,6.984615384615386e-05,131,1695.511831457,1320,0.1584
0.7906942377487819,0.7514960249265035,9242436.0,1764931770.2767773,0.7318,0.2733970582485199,6.882051282051283e-05,132,1708.267084889,1330,0.1596
0.7878232012192409,0.7616097514828046,9307352.0,1764931783.1874263,0.7477,0.3193645477294922,6.779487179487179e-05,133,1721.177785724,1340,0.1608
0.7884784668684006,0.7245375355084737,9381571.0,1764931796.6140852,0.7509,0.2228417694568634,6.676923076923078e-05,134,1734.605027682,1350,0.162
0.7777257641156514,0.7953153332074483,9455399.0,1764931809.5502129,0.8015,0.2633135914802551,6.574358974358975e-05,135,1747.540533222,1360,0.1632
0.8051774253447851,0.7165370916326841,9525237.0,1764931822.3691745,0.7164,0.23898769915103912,6.471794871794872e-05,136,1760.35938065,1370,0.1644
0.7897099167108536,0.7519561931490898,9599979.0,1764931835.2314088,0.7535,0.2204042226076126,6.36923076923077e-05,137,1773.221628431,1380,0.1656
0.7800998548666637,0.8042585909366607,9671714.0,1764931847.7751558,0.7818,0.22902929782867432,6.266666666666667e-05,138,1785.765431888,1390,0.1668
0.7980698903401693,0.7227118164300919,9748182.0,1764931860.2821832,0.7076,0.21433202922344208,6.164102564102564e-05,139,1798.272470828,1400,0.168
0.7932906250158945,0.7325739900271098,9821055.0,1764931874.6259384,0.7305,0.3081512451171875,6.061538461538462e-05,140,1812.616030138,1410,0.1692
0.7902196009953817,0.7450435653328895,9894279.0,1764931887.295347,0.752,0.2347918003797531,5.9589743589743593e-05,141,1825.285475608,1420,0.1704
0.7844656636317571,0.774518067141374,9956639.0,1764931899.619547,0.7459,0.22536441683769226,5.8564102564102567e-05,142,1837.609728943,1430,0.1716
0.779755782087644,0.7813907325267792,10019699.0,1764931912.3094127,0.7707,0.23984432220458984,5.753846153846154e-05,143,1850.299718911,1440,0.1728
0.787114824851354,0.7530696049332619,10087686.0,1764931925.0974536,0.724,0.21513117849826813,5.651282051282052e-05,144,1863.088232668,1450,0.174
0.795865606268247,0.748940092821916,10156343.0,1764931937.4719443,0.7174,0.27862268686294556,5.5487179487179486e-05,145,1875.462096058,1460,0.1752
0.7842495063940684,0.7887700125575066,10220138.0,1764931949.5388415,0.7413,0.21886201202869415,5.4461538461538466e-05,146,1887.529016913,1470,0.1764
0.7852733085552851,0.7829628830154737,10290326.0,1764931962.681705,0.7884,0.27522915601730347,5.343589743589744e-05,147,1900.671866365,1480,0.1776
0.7921156793832779,0.7226287305355072,10355357.0,1764931975.5114038,0.7335,0.232744038105011,5.241025641025641e-05,148,1913.501586832,1490,0.1788
0.7887318670749665,0.7565554196635882,10420696.0,1764931988.0445585,0.7806,0.25517529249191284,5.1384615384615385e-05,149,1926.034779605,1500,0.18
0.7859330793221792,0.7688256104787191,10490450.0,1764932000.6336973,0.7845,0.27185603976249695,5.0358974358974365e-05,150,1938.623912286,1510,0.1812
0.8023367335398992,0.7060001090168952,10558140.0,1764932013.381009,0.6909,0.2518819272518158,4.933333333333334e-05,151,1951.371291065,1520,0.1824
0.7937324474255244,0.7323376327753067,10624687.0,1764932026.1110957,0.7214,0.22721050679683685,4.830769230769231e-05,152,1964.101185714,1530,0.1836
0.8021022150913875,0.7390831880271435,10696240.0,1764932039.3735986,0.6708,0.20310981571674347,4.7282051282051284e-05,153,1977.363828706,1540,0.1848
0.7901311834653219,0.7447722593943278,10766405.0,1764932052.4796457,0.7425,0.2100154310464859,4.625641025641026e-05,154,1990.469749465,1550,0.186
0.7799064099788666,0.7894705638289452,10837420.0,1764932065.308143,0.7868,0.26383844017982483,4.523076923076923e-05,155,2003.298378206,1560,0.1872
0.7830318421125412,0.7599793940782547,10903943.0,1764932078.1934364,0.7765,0.25177040696144104,4.42051282051282e-05,156,2016.183566405,1570,0.1884
0.7751275420188903,0.8079784003396829,10974159.0,1764932091.1465647,0.7962,0.2201811820268631,4.317948717948718e-05,157,2029.136802851,1580,0.1896
0.7909678965806961,0.7582567964990934,11038346.0,1764932103.5003388,0.7434,0.2344355285167694,4.2153846153846156e-05,158,2041.490495829,1590,0.1908
0.8077485918998718,0.7087399552265803,11106036.0,1764932116.531065,0.66,0.23830823600292206,4.1128205128205136e-05,159,2054.52119619,1600,0.192
0.7837541103363037,0.7707678506771724,11169427.0,1764932130.239671,0.7516,0.2839180827140808,4.01025641025641e-05,160,2068.229873539,1610,0.1932
0.7782282143831253,0.7903161356846492,11236726.0,1764932143.645862,0.7825,0.2327040135860443,3.9076923076923075e-05,161,2081.636182431,1620,0.1944
0.810569828748703,0.6894046952327092,11315473.0,1764932156.73319,0.6645,0.2048088014125824,3.8051282051282055e-05,162,2094.723486609,1630,0.1956
0.7972451438506444,0.7450381897389888,11384555.0,1764932169.4498463,0.7038,0.3080342411994934,3.702564102564103e-05,163,2107.440015029,1640,0.1968
0.8069312840700149,0.7038562481602033,11455264.0,1764932182.2006195,0.6732,0.22684551775455475,3.6e-05,164,2120.190960275,1650,0.198
0.797319448987643,0.7349833558003108,11527082.0,1764932195.0895252,0.6959,0.21737414598464966,3.497435897435898e-05,165,2133.079758384,1660,0.1992
0.806661864121755,0.7026965732375781,11602039.0,1764932207.9413621,0.6742,0.23011739552021027,3.3948717948717954e-05,166,2145.931629226,1670,0.2004
0.7912546445926031,0.739789487918218,11674433.0,1764932221.1231136,0.7431,0.2609165906906128,3.292307692307692e-05,167,2159.113367359,1680,0.2016
0.8140231937170028,0.7010975887378057,11744545.0,1764932233.9464002,0.6433,0.22989405691623688,3.18974358974359e-05,168,2171.936667861,1690,0.2028
0.8085790753364563,0.701509167253971,11810029.0,1764932246.4000802,0.6681,0.215190127491951,3.087179487179487e-05,169,2184.39017419,1700,0.204
0.7835817416508992,0.7611361021796862,11887949.0,1764932259.7811952,0.7675,0.2354457527399063,2.9846153846153846e-05,170,2197.771463544,1710,0.2052
0.7824234336614608,0.7941287363568942,11962421.0,1764932273.2054935,0.7863,0.2298751324415207,2.8820512820512822e-05,171,2211.195662049,1720,0.2064
0.7838838835557301,0.7789853692054749,12037649.0,1764932286.4349308,0.7544,0.23007476329803467,2.7794871794871796e-05,172,2224.425373235,1730,0.2076
0.7823824226856232,0.7701555838187536,12096054.0,1764932299.620362,0.7606,0.30007368326187134,2.676923076923077e-05,173,2237.610678447,1740,0.2088
0.7965317308902741,0.7088089093565941,12164755.0,1764932313.0827274,0.7256,0.22856053709983826,2.5743589743589745e-05,174,2251.073128151,1750,0.21
0.8087685952583948,0.7117131228248278,12232895.0,1764932325.6708527,0.6494,0.2643730938434601,2.4717948717948718e-05,175,2263.661565244,1760,0.2112
0.79991341928641,0.7221470000843208,12307983.0,1764932338.6848147,0.6952,0.24199137091636658,2.3692307692307695e-05,176,2276.676375762,1770,0.2124
0.8045758803685507,0.707077930867672,12375666.0,1764932351.3562834,0.6367,0.21976828575134277,2.2666666666666668e-05,177,2289.346684251,1780,0.2136
0.7791776110728582,0.8086278885602951,12447479.0,1764932364.6182,0.7855,0.22954420745372772,2.164102564102564e-05,178,2302.608423292,1790,0.2148
0.7854152977466583,0.7604918365677198,12513412.0,1764932376.893501,0.7444,0.26399561762809753,2.0615384615384617e-05,179,2314.883771506,1800,0.216
0.8028815150260925,0.6999443009495735,12579378.0,1764932390.2447839,0.6898,0.270049512386322,1.958974358974359e-05,180,2328.235003684,1810,0.2172
0.8090906381607056,0.6912628235916297,12642779.0,1764932402.5220697,0.67,0.19038647413253784,1.8564102564102563e-05,181,2340.512268693,1820,0.2184
0.7972608476877212,0.7140140821536382,12711648.0,1764932415.0825,0.6906,0.25471892952919006,1.753846153846154e-05,182,2353.072720115,1830,0.2196
0.8070200830698013,0.7074915508429209,12776029.0,1764932427.1214762,0.6603,0.22850382328033447,1.6512820512820516e-05,183,2365.111773738,1840,0.2208
0.7945842127005259,0.7324510934452216,12838345.0,1764932439.3125608,0.7071,0.3022952079772949,1.5487179487179486e-05,184,2377.302807689,1850,0.222
0.7998911003271739,0.7191030025482178,12903697.0,1764932452.003087,0.6862,0.24141499400138855,1.4461538461538462e-05,185,2389.993300087,1860,0.2232
0.7757365574439367,0.8060070117314656,12975625.0,1764932465.199424,0.8222,0.2859116196632385,1.3435897435897437e-05,186,2403.189736619,1870,0.2244
0.8012589275836944,0.6984968950351079,13047130.0,1764932478.2560053,0.672,0.20778916776180267,1.2410256410256412e-05,187,2416.246214386,1880,0.2256
